Hotel Name,Ratings,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46
D'Palms Hotel,8.3,Wireless Internet,Adequate Parking,Breakfast,Fitness facilities,Restaurant,Security,King sized bed,Spa treatment,Make Up Mirror,Wardrobe,Shower,Sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Britannaia Hotel,,Bar,Restaurant,Parking Garage,Adequate Parking Space,Airport transportation (surcharge),Car Hire,Dry cleaning/laundry service,Room Service,Air Conditioning,Non Smoking Rooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larex Hotel International,,Bar/Lounge,Security,Air Conditioning,Adequate Parking,Flatscreen TV,Restaurant,Private Bathroom,Sofa,King sized bed,concierge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excel oriental hotel and suites,7.1,Restaurant,Bar/Lounge,Gift Shop,Security,Wireless Internet,Air Conditioning,24 Electricity,Event Hall,Business Centre,Adequate Parking,Swimming Pool,Gym,Conference facility,Room Service,POS,Wardrobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cata Apartment Hotel & Spa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linton Host Hotel,7.5,Restaurant,Bar/Lounge,Security,Wireless Internet,Air Conditioning,24 Electricity,House Keeping,Room Service,DSTV,Air Conditioning,Refrigerator,Desk,Television,Toiletries,Security Guard,Room service 24h,Flatscreen TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Tulip Essential Lagos Airport Hotel,,Restaurant,Bar/Lounge,Security,Wireless Internet,Air Conditioning,24 Electricity,House Keeping,Room Service,DSTV,Air Conditioning,Refrigerator,Desk,Television,Toiletries,Security Guard,Room service 24h,Flatscreen TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicery Hotel,5.4,Restaurant,Security,Luggage Storage,Room Service,Air Conditioning,Laundry,Flatscreen TV,Elevator/Lift,24 hours Electricity,Key Card system,POS,CCTV camera,DSTV,concierge,Kitchen,Taxi Pickup,Wi-fi Internet Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beatrix Hotel,,Adequate Parking Space,Security,Bar/Lounge,Restaurant,Air Conditioning,24 hours Electricity,Laundry,Car Hire,Room Service,concierge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adesuwa hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Standard Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platinum Inn Gee Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Roses Continental Hotel,,Restaurant,Bar/Lounge,Security,Adequate Parking,Laundry,Fan,Generator set,Fenced compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etal Hotel,7.6,Restaurant,Bar/Lounge,Adequate Parking,DSTV,Luggage Storage,Room Service,Security,Television,Swimming Pool,concierge,King sized bed,Saloon,Fenced compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Britannia Hotel & Suites,,Bar,Restaurant,Parking Garage,Adequate Parking Space,Airport transportation (surcharge),Car Hire,Dry cleaning/laundry service,Room Service,Air Conditioning,Non Smoking Rooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maco Hotel & Tourism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chamcce Hotel & Suites,,Bar/Lounge,Wireless Internet,Adequate Parking,Business Centre,DSTV,HiTV,Air Conditioning,Telephone,Hair Dryer,Fitness facilities,Laundry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteas Hotel Ikeja,8,Restaurant,Wireless Internet,Air Conditioning,24 Electricity,Adequate Parking,Swimming Pool,DSTV,24 hours Electricity,24 hour Front Desk,Quite Neighbourhood,Ironing,Security,Gym,Wardrobe,Wi-fi Internet Access,Bathtub,Flatscreen TV,Fenced compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow Tulip Courtyard (Apartment Hotel),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Tulip Hotel Ajao Estate,,Restaurant,Wireless Internet,Air Conditioning,24 Electricity,Adequate Parking,Swimming Pool,DSTV,24 hours Electricity,24 hour Front Desk,Quite Neighbourhood,Ironing,Security,Gym,Wardrobe,Wi-fi Internet Access,Bathtub,Flatscreen TV,Fenced compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Tulip Hotel Ajao Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronia Hotel,7.9,Restaurant,Bar/Lounge,Event Hall,Air Conditioning,Climate Control,Wireless Internet,Gym,Swimming Pool,Laundry,Multiple Channels cable TV,Meeting Rooms,Business Centre,Security Guard,Car rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claribelle Hotel,,Adequate Parking,Security,Air Conditioning,Restaurant,Bar/Lounge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remsal Hotel,,Adequate Parking Space,Security,Security Guard,Air Conditioning,Room service 24h,Bar/Lounge,Breakfast,Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emota paradise phase 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King's Celia Hotels & Suites,6.6,Adequate Parking,Air Conditioning,Airport pickup,Dry Cleaning,conference facilities,Car Hire,Swimming Pool,Free WiFi,Bar/Lounge,Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suncity Hotels,,Bar/Lounge,Wireless Internet,24 Electricity,Adequate Parking,Luggage Storage,Indoor Pool,Clothing Iron,Wake Up Service,Bar,Banquet Hall,Lunch,Conference facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueNet Hotels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welcome Centre Hotels Lagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
